,id,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA,geometry
0,6155875,48649,OSHAWA,ON,ONTARIO,ONTARIO,CAN,435522000,-785300041,EST,139.90,6155875,YOO,71697,Aviation-Auto,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2010-06-03T00:00:00,2024-03-19T12:30:01,2010-06-03T14:00:00,2024-03-19T12:30:01,2010-06-03T00:00:00,2024-03-19T00:00:00,,,Y,N,Y,POINT (-78.88334472222222 43.92277777777777)
1,6166415,48952,PETERBOROUGH A,ON,ONTARIO,ONTARIO,CAN,441348000,-782148000,EST,191.40,6166415,YPQ,71436,Aviation-Auto,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2010-09-20T14:00:00,2024-03-19T12:30:01,2010-09-20T14:00:00,2024-03-19T12:30:01,2010-09-23T00:00:00,2024-03-19T00:00:00,,,Y,N,Y,POINT (-78.36333333333333 44.23)
2,6048262,50132,THUNDER BAY A,ON,ONTARIO,ONTARIO,CAN,482219000,-891918000,EST,199.30,6048262,YQT,,Aviation-Staffed,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2012-04-12T14:00:00,2024-03-19T12:30:01,2012-04-12T14:00:00,2024-03-19T12:30:01,2018-10-30T00:00:00,2024-03-19T00:00:00,,,Y,N,Y,POINT (-89.32166666666667 48.37194444444444)
3,2400633,50288,KINNGAIT AIRPORT,NU,NUNAVUT,NUNAVUT,CAN,641349000,-793130000,EST,48.20,2400633,YTE,,Aviation-Staffed,,,,NAVCAN,NAVCAN,NAV Canada,NAV Canada,2012-07-18T15:00:00,2024-03-19T12:30:01,2012-07-18T15:00:00,2024-03-19T12:30:01,,,,,N,N,Y,POINT (-79.52500000000001 64.23027777777777)
4,6068158,4134,SUDBURY SCIENCE NORTH,ON,ONTARIO,ONTARIO,CAN,462800000,-810000000,EST,263.00,6068158,,,N/A,G,1.0,8.0,,,,,1986-01-01T00:00:00,1996-10-31T00:00:00,,,1986-05-01T00:00:00,1996-10-31T00:00:00,1986-01-01T00:00:00,1996-10-01T00:00:00,Y,N,N,POINT (-81 46.46666666666667)
5,6069197,4138,WAHNAPITAE-STOKES,ON,ONTARIO,ONTARIO,CAN,462600000,-804300000,EST,750.00,6069197,,,N/A,G,1.0,8.0,,,,,1990-01-01T00:00:00,1991-11-01T00:00:00,,,1990-05-01T00:00:00,1991-07-31T00:00:00,1990-01-01T00:00:00,1991-11-01T00:00:00,Y,N,N,POINT (-80.71666666666667 46.43333333333333)
6,6074100,4158,KIDD CREEK MINE,ON,ONTARIO,ONTARIO,CAN,484100000,-812200000,EST,277.40,6074100,,,N/A,G,1.0,8.0,,,,,1968-01-01T00:00:00,1979-12-01T00:00:00,,,1968-05-01T00:00:00,1979-09-30T00:00:00,1968-01-01T00:00:00,1979-12-01T00:00:00,Y,N,N,POINT (-81.36666666666666 48.68333333333333)
7,6074209,4159,KIRKLAND LAKE,ON,ONTARIO,ONTARIO,CAN,480900000,-800000000,EST,324.00,6074209,,,N/A,C,1.0,4.0,,,,,1950-01-01T00:00:00,1996-12-31T00:00:00,,,1950-02-01T00:00:00,1996-12-31T00:00:00,1950-01-01T00:00:00,1996-12-01T00:00:00,Y,N,N,POINT (-80 48.15)
8,6074630,4161,LOWER STURGEON,ON,ONTARIO,ONTARIO,CAN,484900000,-812900000,EST,246.90,6074630,,,N/A,,1.0,9.0,,,,,1950-01-01T00:00:00,1967-12-01T00:00:00,,,1950-09-01T00:00:00,1967-08-31T00:00:00,1950-01-01T00:00:00,1967-12-01T00:00:00,Y,N,N,POINT (-81.48333333333333 48.81666666666667)
9,6075024,4164,MATTICE TCPL,ON,ONTARIO,ONTARIO,CAN,493600000,-831000000,EST,233.20,6075024,,,N/A,C,1.0,4.0,,,,,1966-01-01T00:00:00,1995-02-28T00:00:00,,,1966-11-01T00:00:00,1995-02-28T00:00:00,1966-01-01T00:00:00,1995-02-01T00:00:00,Y,N,N,POINT (-83.16666666666667 49.6)
